Lyric,Song,Album
"So scarlet, it was maroon",Maroon,Midnights
"Carnations you had thought were roses, that's us",Maroon,Midnights
"I've never seen someone lit from within, blurring out my periphery",Snow on the Beach,Midnights
I'm only cryptic and machiavellian because I care,Mastermind,Midnights
Never take advice from someone's who's falling apart,Dear Reader,Midnights
You drew stars around my scars but now I'm bleeding,cardigan,folklore
I don't like slow motion double vision in rose blush,gold rush,folklore
My mind turns your life into folklore,gold rush,folklore
My pain fits in the palm of your freezing hand,ivy,evermore
Your Midas touch on the Chevy door,champagne problems,evermore
I don't like that falling feels like flyring 'til the bone crush,gold rush,evermore
"Time flies, messy as the mud on your truck tires",tis the damn season,evermore
"I made you my temple, my mural, my sky",tolerate it,evermore
"I know my love should be celebrated, but you tolerate it",tolerate it,evermore
I'm damned if I do give a damn what people say,Lavender Haze,Midnights
That's a real fucking legacy to leave,Maroon,Midnights
I'll stare directly at the sun but never in the mirror,Anti-Hero,Midnights
Everything you lose is a step you take,"You're on Your Own, Kid",Midnights
"You're on your own, kid, you always have been","You’re on Your Own, Kid",Midnights
"He was sunshine, I was midnight rain",Midnight Rain,Midnights
"He stayed the same, all of me changed like midnight rain",Midnight Rain,Midnights
"Picture perfect, shiny family, holiday peppermint candy",Midnight Rain,Midnights
"Get it off your chest, get it off my desk",Lavender Haze,Midnights
Did you ever have someone kiss you in a crowded room?,Question…?,Midnights
Don't put me in the basement when I want the penthouse of your heart,Bejeweled,Midnights
"Sapphire tears on my face, sadness became my whole sky",Bejeweled,Midnights
"I thought the plane was going down, how'd you turn it right around?",Labyrinth,Midnights
"Oh no, I'm falling in love again",Labyrinth,Midnights
"Karma's gonna track you down, step by step from town to town",Karma,Midnights
All that you ever wanted from me was sweet nothing,Sweet Nothing,Midnights
"Just like clockwork, the dominoes cascaded in a line",Mastermind,Midnights
"Somewhere in the haze, got a sense I've been betrayed",The Great War,Midnights
You were more than just a short time,Bigger than the Whole Sky,Midnights
Did some bird flap its wing over in Asia?,Bigger than the Whole Sky,Midnights
Let the only flashing lights be the tower at midnight,Paris,Midnights
I was taken by the view like we were in Paris,Paris,Midnights
You know there's many different ways that you can kill the one you love,High Infidelity,Midnights
"You said I was freeloading, I didn't know you were keeping count",High Infidelity,Midnights
"Stained glass windows in my mind, I regret you all the time","Would've, Could've, Should've",Midnights
I think there's been a glitch,Glitch,Midnights
"If it feels like a trap, you're already in one",Dear Reader,Midnights
At least I'm trying,this is me trying,folklore
"Roaring twenties, tossing pennies in the pool",the 1,folklore
I had a marvelous time ruining everything,the last great american dynasty,folklore
I think I've seen this film before,exile,folklore
"You're not my homeland anymore, so who am I defending now?",exile,folklore
"You were my town, now I'm in exile seeing you out",exile,folklore
"You can aim for my heart, go for blood",my tears ricochet,folklore
And I still talk to you when I'm screaming at the sky,my tears ricochet,folklore
"I'm a mirrorball, I'll show you every version of yourself tonight",mirrorball,folklore
"I've never been a natural, all I do is try, try, try",mirrorball,folklore
"I was high in the sky, with Pennsylvania under me",seven,folklore
"Before I learned civility, I used to scream ferociously",seven,folklore
Salt air and the rust on your door,august,folklore
August sipped away like a bottle of wine,august,folklore
"Cancel plans just in case you'd call and say, ""meet me behind the mall""",august,folklore
You weren't mine to lose,august,folklore
"I had the shiniest wheels, now they're rusting",this is me trying,folklore
"I was so ahead of the curve, the curve became a sphere",this is me trying,folklore
You showed me colors you know I can't see with anyone else,illicit affairs,folklore
You taught me a secret language I can't speak with anyone else,illicit affairs,folklore
Hell was the journey but it brought me heaven,invisible string,folklore
I'm taking my time because you took everything from me,mad woman,folklore
"watch you breathe in, watch you breathing out",epiphany,folklore
Slept next to her but I dreamt of you all summer long,betty,folklore
"Yeah, I showed up at your party",betty,folklore
Would it be enough if I could never give you peace?,peace,folklore
The rain is always gonna come if you're standing with me,peace,folklore
"All these people think love's for show, but I would die for you in secret",peace,folklore
Your faithless love's the only hoax I believe in,hoax,folklore
I am ash from your fire,hoax,folklore
"I'm setting off, but not without my muse",the lakes,folklore
Is it romantic how all my elegies eulogize me?,the lakes,folklore
Every bait and switch was a work of art,willow,evermore
The holidays linger like bad perfume,tis the damn season,evermore
I wasn't letting up until the day he died,"no body, no crime",evermore
Across our great divide there is a glorious sunrise,happiness,evermore
The stars in your eyes shined brighter in Tupelo,dorothea,evermore
Did I close my fist around delicate?,coney island,evermore
"The fast times, the bright lights, the merry go",coney island,evermore
Sorry for not making you my centerfold,coney island,evermore
"We were like the mall before the Internet, it was the one place to be",coney island,evermore
Did I paint your bluest skies the darkest grey?,coney island,evermore
Your touch brought forth an incandescent glow,ivy,evermore
Your ivy grows and now I'm covered in you,ivy,evermore
It’s a goddamn blaze in the dark and you started it,ivy,evermore
Now I'm waiting by the phone like I'm sitting in an airport bar,cowboy like me,evermore
Forever is the sweetest con,cowboy like me,evermore
My waves meet your shore ever and evermore,long story short,evermore
"Long story short, I survived",long story short,evermore
What died didn't stay dead,marjorie,evermore
I should've asked you how to be,marjorie,evermore
"I know that it's over, I don’t need your ""closure""",closure,evermore
I rewind the tape but all it does is pause,evermore,evermore
Is there a line that I could just go cross?,evermore,evermore
Whether weather be the frost or the violence of the dog days,evermore,evermore
You left me no choice but to stay here forever,right where you left me,evermore
Sometimes walking out is the one thing that will find you the right thing,it's time to go,evermore
"He's got my past frozen behind glass, but I've got me",it's time to go,evermore
